id,BTXARG1_1,SC630_1,SC0605_1,BTX642_1
MB0360,1,2,3,4
MB0649,1,2,3,4
MB0511,1,2,3,4
MB0656,1,2,3,4
MB0313,1,2,3,4
MB0414,1,2,3,4
MB0523,1,2,3,4
MB0392,1,2,3,4
MB0369,1,2,3,4
MB0494,1,2,3,4
MB0638,1,2,3,4
MB0349,1,2,3,4
MB0639,1,2,3,4
MB0495,1,2,3,4
MB0582,1,2,3,4
MB0662,1,2,3,4
MB0551,1,2,3,4
MB0320,1,2,3,4
MB0681,1,2,3,4
MB0682,1,2,3,4
MB0598,1,2,3,4
MB0444,1,2,3,4
MB0363,1,2,3,4
MB0481,1,2,3,4
MB0630,1,2,3,4
MB0375,1,2,3,4
MB0597,1,2,3,4
MB0652,1,2,3,4
MB0516,1,2,3,4
MB0330,1,2,3,4
MB0382,1,2,3,4
MB0671,1,2,3,4
MB0583,1,2,3,4
MB0427,1,2,3,4
MB0374,1,2,3,4
MB0501,1,2,3,4
MB0642,1,2,3,4
MB0364,1,2,3,4
MB0611,1,2,3,4
MB0643,1,2,3,4
MB0502,1,2,3,4
MB0342,1,2,3,4
MB0372,1,2,3,4
MB0571,1,2,3,4
MB0415,1,2,3,4
MB0384,1,2,3,4
MB0651,1,2,3,4
MB0352,1,2,3,4
MB0628,1,2,3,4
MB0633,1,2,3,4
MB0486,1,2,3,4
MB0353,1,2,3,4
MB0362,1,2,3,4
MB0660,1,2,3,4
MB0538,1,2,3,4
MB0399,1,2,3,4
MB0400,1,2,3,4
MB0547,1,2,3,4
MB0661,1,2,3,4
MB0341,1,2,3,4
MB0640,1,2,3,4
MB0614,1,2,3,4
MB0461,1,2,3,4
MB0365,1,2,3,4
MB0350,1,2,3,4
MB0514,1,2,3,4
MB0317,1,2,3,4
MB0417,1,2,3,4
MB0573,1,2,3,4
MB0672,1,2,3,4
MB0329,1,2,3,4
MB0650,1,2,3,4
MB0603,1,2,3,4
MB0447,1,2,3,4
MB0376,1,2,3,4
MB0338,1,2,3,4
MB0641,1,2,3,4
MB0499,1,2,3,4
MB0328,1,2,3,4
MB0428,1,2,3,4
MB0584,1,2,3,4
MB0683,1,2,3,4
MB0318,1,2,3,4
MB0659,1,2,3,4
MB0586,1,2,3,4
MB0429,1,2,3,4
MB0327,1,2,3,4
MB0480,1,2,3,4
MB0339,1,2,3,4
MB0446,1,2,3,4
MB0600,1,2,3,4
MB0401,1,2,3,4
MB0670,1,2,3,4
MB0574,1,2,3,4
MB0418,1,2,3,4
MB0314,1,2,3,4
MB0612,1,2,3,4
MB0459,1,2,3,4
MB0351,1,2,3,4
MB0613,1,2,3,4
MB0385,1,2,3,4
MB0673,1,2,3,4
MB0419,1,2,3,4
MB0738,1,2,3,4
MB0963,1,2,3,4
MB0834,1,2,3,4
MB0575,1,2,3,4
MB0674,1,2,3,4
MB0343,1,2,3,4
MB0635,1,2,3,4
MB0489,1,2,3,4
MB0875,1,2,3,4
MB0986,1,2,3,4
MB0432,1,2,3,4
MB0724,1,2,3,4
MB0948,1,2,3,4
MB0690,1,2,3,4
MB0589,1,2,3,4
MB0685,1,2,3,4
MB0331,1,2,3,4
MB0618,1,2,3,4
MB0466,1,2,3,4
MB0757,1,2,3,4
MB0900,1,2,3,4
MB1002,1,2,3,4
MB0450,1,2,3,4
MB0712,1,2,3,4
MB0936,1,2,3,4
MB0604,1,2,3,4
MB0605,1,2,3,4
MB0451,1,2,3,4
MB0783,1,2,3,4
MB0909,1,2,3,4
MB0821,1,2,3,4
MB0463,1,2,3,4
MB0701,1,2,3,4
MB0923,1,2,3,4
MB0713,1,2,3,4
MB0617,1,2,3,4
MB0403,1,2,3,4
MB0686,1,2,3,4
MB0591,1,2,3,4
MB0433,1,2,3,4
MB0798,1,2,3,4
MB0922,1,2,3,4
MB0810,1,2,3,4
MB0488,1,2,3,4
MB0911,1,2,3,4
MB0725,1,2,3,4
MB0634,1,2,3,4
MB0389,1,2,3,4
MB0675,1,2,3,4
MB0577,1,2,3,4
MB0687,1,2,3,4
MB0809,1,2,3,4
MB0935,1,2,3,4
MB0504,1,2,3,4
MB1003,1,2,3,4
MB0901,1,2,3,4
MB0740,1,2,3,4
MB0644,1,2,3,4
MB0377,1,2,3,4
MB0665,1,2,3,4
MB0554,1,2,3,4
MB0700,1,2,3,4
MB0820,1,2,3,4
MB0947,1,2,3,4
MB0785,1,2,3,4
MB0517,1,2,3,4
MB0987,1,2,3,4
MB0885,1,2,3,4
MB0653,1,2,3,4
MB0366,1,2,3,4
MB0654,1,2,3,4
MB0521,1,2,3,4
MB0710,1,2,3,4
MB0833,1,2,3,4
MB0962,1,2,3,4
MB0552,1,2,3,4
MB0973,1,2,3,4
MB0854,1,2,3,4
MB0664,1,2,3,4
MB0354,1,2,3,4
MB0645,1,2,3,4
MB0506,1,2,3,4
MB0723,1,2,3,4
MB0853,1,2,3,4
MB0971,1,2,3,4
MB0760,1,2,3,4
MB0799,1,2,3,4
MB1006,1,2,3,4
MB0904,1,2,3,4
MB0793,1,2,3,4
MB0926,1,2,3,4
MB0822,1,2,3,4
MB0714,1,2,3,4
MB0940,1,2,3,4
MB0717,1,2,3,4
MB0838,1,2,3,4
MB0966,1,2,3,4
MB0803,1,2,3,4
MB0811,1,2,3,4
MB0995,1,2,3,4
MB0891,1,2,3,4
MB0804,1,2,3,4
MB0937,1,2,3,4
MB0813,1,2,3,4
MB0702,1,2,3,4
MB0928,1,2,3,4
MB0727,1,2,3,4
MB0862,1,2,3,4
MB0978,1,2,3,4
MB0792,1,2,3,4
MB0979,1,2,3,4
MB0696,1,2,3,4
MB0816,1,2,3,4
MB0949,1,2,3,4
MB0800,1,2,3,4
MB0691,1,2,3,4
MB0913,1,2,3,4
MB0743,1,2,3,4
MB0889,1,2,3,4
MB0994,1,2,3,4
MB0771,1,2,3,4
MB0836,1,2,3,4
MB0967,1,2,3,4
MB0706,1,2,3,4
MB0827,1,2,3,4
MB0964,1,2,3,4
MB1004,1,2,3,4
MB0902,1,2,3,4
MB0770,1,2,3,4
MB0903,1,2,3,4
MB1005,1,2,3,4
MB0744,1,2,3,4
MB0859,1,2,3,4
MB0955,1,2,3,4
MB0719,1,2,3,4
MB0847,1,2,3,4
MB0974,1,2,3,4
MB0787,1,2,3,4
MB0993,1,2,3,4
MB0888,1,2,3,4
MB0788,1,2,3,4
MB0914,1,2,3,4
MB0728,1,2,3,4
MB0887,1,2,3,4
MB0942,1,2,3,4
MB0729,1,2,3,4
MB0867,1,2,3,4
MB0992,1,2,3,4
MB0762,1,2,3,4
MB0977,1,2,3,4
MB0861,1,2,3,4
MB0801,1,2,3,4
MB0929,1,2,3,4
MB0839,1,2,3,4
MB0718,1,2,3,4
MB0930,1,2,3,4
MB0745,1,2,3,4
MB0742,1,2,3,4
MB0965,1,2,3,4
MB0692,1,2,3,4
MB0814,1,2,3,4
MB0941,1,2,3,4
MB0826,1,2,3,4
MB0705,1,2,3,4
MB0912,1,2,3,4
MB0916,1,2,3,4
MB0775,1,2,3,4
MB0837,1,2,3,4
MB0726,1,2,3,4
MB0950,1,2,3,4
MB0703,1,2,3,4
MB0825,1,2,3,4
MB0951,1,2,3,4
MB0815,1,2,3,4
MB0693,1,2,3,4
MB0917,1,2,3,4
MB0946,1,2,3,4
MB0244,1,2,3,4
MB0786,1,2,3,4
MB0779,1,2,3,4
MB0997,1,2,3,4
MB0698,1,2,3,4
MB0818,1,2,3,4
MB0945,1,2,3,4
MB0872,1,2,3,4
MB0734,1,2,3,4
MB0931,1,2,3,4
MB0934,1,2,3,4
MB0666,1,2,3,4
MB0761,1,2,3,4
MB0896,1,2,3,4
MB0982,1,2,3,4
MB0708,1,2,3,4
MB0831,1,2,3,4
MB0959,1,2,3,4
MB0851,1,2,3,4
MB0722,1,2,3,4
MB0943,1,2,3,4
MB0921,1,2,3,4
MB0676,1,2,3,4
MB0893,1,2,3,4
MB0870,1,2,3,4
MB0746,1,2,3,4
MB0721,1,2,3,4
MB0849,1,2,3,4
MB0969,1,2,3,4
MB0832,1,2,3,4
MB0709,1,2,3,4
MB0956,1,2,3,4
MB0532,1,2,3,4
MB0905,1,2,3,4
MB0848,1,2,3,4
MB0732,1,2,3,4
MB0957,1,2,3,4
MB0733,1,2,3,4
MB0871,1,2,3,4
MB0983,1,2,3,4
MB0819,1,2,3,4
MB0699,1,2,3,4
MB0968,1,2,3,4
MB0174,1,2,3,4
MB0568,1,2,3,4
MB0830,1,2,3,4
MB0720,1,2,3,4
MB0944,1,2,3,4
MB0749,1,2,3,4
MB0897,1,2,3,4
MB1000,1,2,3,4
MB0807,1,2,3,4
MB1001,1,2,3,4
MB0980,1,2,3,4
MB0386,1,2,3,4
MB0817,1,2,3,4
MB0707,1,2,3,4
MB0933,1,2,3,4
MB0781,1,2,3,4
MB0907,1,2,3,4
MB1009,1,2,3,4
MB0797,1,2,3,4
MB0984,1,2,3,4
MB0996,1,2,3,4
MB0113,1,2,3,4
MB0402,1,2,3,4
MB0805,1,2,3,4
MB0697,1,2,3,4
MB0918,1,2,3,4
MB0795,1,2,3,4
MB0920,1,2,3,4
MB0908,1,2,3,4
MB0782,1,2,3,4
MB0970,1,2,3,4
MB1007,1,2,3,4
MB0255,1,2,3,4
MB0794,1,2,3,4
MB1008,1,2,3,4
MB0906,1,2,3,4
MB0806,1,2,3,4
MB0899,1,2,3,4
MB0756,1,2,3,4
MB0960,1,2,3,4
